INFO  - 2014-02-11 14:01:40.969; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2014-02-11 14:01:40.969; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.969; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.969; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.969; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-02-11 14:01:40.983; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-02-11 14:01:40.985; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-02-11 14:01:40.986; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-02-11 14:01:41.005; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-02-11 14:01:41.005; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-02-11 14:01:41.010; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@e2f75e5; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-02-11 14:01:41.010; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-02-11 14:01:41.015; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@60c0a150 main
INFO  - 2014-02-11 14:01:41.019; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-02-11 14:01:41.025; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-02-11 14:01:41.031; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-02-11 14:01:41.033; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/gaudinat/Solr/solr-4.6.1/webso/solr/collection1/conf/elevate.xml
INFO  - 2014-02-11 14:01:41.059; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-02-11 14:01:41.060; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@60c0a150 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-02-11 14:01:41.060; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-02-11 14:01:41.062; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/gaudinat/Solr/solr-4.6.1/webso
INFO  - 2014-02-11 14:01:41.063; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-02-11 14:01:41.100; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2014-02-11 14:01:41.104; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=42 
INFO  - 2014-02-11 14:01:41.104; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-02-11 14:01:41.104; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-02-11 14:01:41.104; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-02-11 14:01:41.105; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@60c0a150 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-02-11 14:03:00.356; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={indent=true&q=*:*&wt=json&fq=type_s:source} hits=0 status=0 QTime=5 
INFO  - 2014-02-11 14:03:33.371; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1392123813367&wt=json} status=0 QTime=1 
INFO  - 2014-02-11 14:03:33.494; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1392123813393&wt=json} status=0 QTime=99 
